địa đạo củ chi	 id = 192577
Cà Mau	 id = 192526
Cai Lậy	 id = 192704
Cái Bè	 id = 192705
Cái Nước	 id = 192706
Cái Răng	 id = 192707
Cam Lâm	 id = 192708
Cam Lộ	 id = 192709
Cam Ranh	 id = 192528
Can Lộc	 id = 192710
Càng Long	 id = 192711
Cao Bằng	 id = 192712
Cao Lãnh	 id = 192527
Cao Lộc	 id = 192713
Cao Phong	 id = 192714
Cát Hải	 id = 192715
Cát Tiên	 id = 192716
Cẩm Giàng	 id = 192717
Cẩm Mỹ	 id = 192718
Cẩm Phả	 id = 192719
Cẩm Thủy	 id = 192720
Cẩm Xuyên	 id = 192721
Cần Đước	 id = 192722
Cần Giờ	 id = 192723
Cần Giuộc	 id = 192724
Cầu Giấy	 id = 192725
Cầu Kè	 id = 192726
Cầu Ngang	 id = 192727
Châu Đốc	 id = 192728
Châu Đức	 id = 192729
Châu Phú	 id = 185094
Châu Thành	 id = 192730
Châu Thành A	 id = 192731
Chi Lăng	 id = 192732
Chí Linh	 id = 192733
Chiêm Hóa	 id = 192734
Chợ Đồn	 id = 192735
Chợ Gạo	 id = 192736
Chợ Lách	 id = 192737
Chợ Mới	 id = 192738
Chơn Thành	 id = 192739
Chư Păh	 id = 192740
Chư Prông	 id = 192741
Chư Sê	 id = 192742
Chương Mỹ	 id = 192743
Con Cuông	 id = 192744
Cô Tô	 id = 192745
Côn Đảo	 id = 192746
Cồn Cỏ	 id = 192747
Cờ Đỏ	 id = 192748
Cù Lao Dung	 id = 192749
Củ Chi	 id = 192750
Cư Jút	 id = 192751
Cư M'gar	 id = 192752
Cửa Lò	 id = 192753
Dầu Tiếng	 id = 192754
Di Linh	 id = 192755
Dĩ An	 id = 192756
Diên Khánh	 id = 192757
Diễn Châu	 id = 192758
Duy Tiên	 id = 192759
Duy Xuyên	 id = 192760
Duyên Hải	 id = 192761
Đa Krông	 id = 192762
Đà Bắc	 id = 192763
Đà Lạt	 id = 192529
Đạ Huoai	 id = 192764
Đạ Tẻh	 id = 192765
Đại Lộc	 id = 192766
Đại Từ	 id = 192767
Đak Đoa	 id = 192768
Đak Pơ	 id = 192769
Đan Phượng	 id = 192770
Đăk Glei	 id = 192771
Đăk Glong	 id = 192772
Đăk Hà	 id = 192773
Đăk Mil	 id = 192774
Đăk R'Lấp	 id = 192775
Đăk Song	 id = 192776
Đăk Tô	 id = 192777
Đầm Dơi	 id = 192778
Đầm Hà	 id = 192779
Đăm Rông	 id = 192780
Đất Đỏ	 id = 192781
Điện Bàn	 id = 192782
Điện Biên	 id = 191842
Điện Biên Đông	 id = 192783
Điện Biên Phủ	 id = 192530
Đình Lập	 id = 192784
Định Quán	 id = 192785
Đoan Hùng	 id = 192786
Đô Lương	 id = 192787
Đồ Sơn	 id = 192788
Đông Giang	 id = 192789
Đông Hà	 id = 192531
Đông Hải	 id = 192790
Đông Hòa	 id = 192791
Đông Hưng	 id = 192792
Đông Sơn	 id = 191334
Đông Triều	 id = 192793
Đồng Hới	 id = 192532
Đồng Hỷ	 id = 192794
Đồng Phù	 id = 192795
Đồng Văn	 id = 192796
Đồng Xoài	 id = 192797
Đồng Xuân	 id = 192798
Đống Đa	 id = 192799
Đơn Dương	 id = 192800
Đức Cơ	 id = 192801
Đức Huệ	 id = 192802
Đức Linh	 id = 192803
Đức Phổ	 id = 192804
Đức Thọ	 id = 192805
Đức Trọng	 id = 192806
Ea H'leo	 id = 192807
Ea Kar	 id = 192808
Ea Súp	 id = 192809
Gia Bình	 id = 192810
Gia Lâm	 id = 192811
Gia Lộc	 id = 185192
Gia Nghĩa	 id = 192812
Gia Viễn	 id = 192813
Giá Rai	 id = 192814
Giao Thuỷ	 id = 192815
Gio Linh	 id = 192816
Giồng Riềng	 id = 192817
Giồng Trôm	 id = 192818
Gò Công	 id = 192819
Gò Công Đông	 id = 192820
Gò Công Tây	 id = 192821
Gò Dầu	 id = 192822
Gò Quao	 id = 192823
Gò Vấp	 id = 192824
Hà Đông	 id = 192825
Hà Giang	 id = 192533
Hà Quảng	 id = 192826
Hà Tiên	 id = 192827
Hà Tĩnh	 id = 192534
Hà Trung	 id = 192828
Hạ Hoà	 id = 192829
Hạ Lang	 id = 192830
Hạ Long	 id = 192535
Hai Bà Trưng	 id = 192831
Hải Châu	 id = 191825
Hải Dương	 id = 192536
Hải Hậu	 id = 192832
Hải Lăng	 id = 192833
Hàm Tân	 id = 192834
Hàm Thuận Bắc	 id = 192835
Hàm Thuận Nam	 id = 192836
Hàm Yên	 id = 192837
Hậu Lộc	 id = 192838
Hiệp Đức	 id = 192839
Hiệp Hòa	 id = 192840
Hoa Lư	 id = 192841
Hoà An	 id = 192842
Hòa Thành	 id = 192843
Hoài Ân	 id = 192844
Hoài Đức	 id = 192845
Hoài Nhơn	 id = 192846
Hoàn Kiếm	 id = 192847
Hoàng Mai	 id = 188115
Hoàng Sa	 id = 192848
Hoàng Su Phì	 id = 192849
Hoành Bồ	 id = 192850
Hoằng Hóa	 id = 192851
Hóc Môn	 id = 192852
Hòn Đất	 id = 192853
Hội An	 id = 192538
Hồng Bàng	 id = 189888
Hồng Dân	 id = 191844
Hồng Lĩnh	 id = 192854
Hồng Ngự	 id = 192855
Huế	 id = 192539
Hưng Hà	 id = 190002
Hưng Nguyên	 id = 192856
Hưng Yên	 id = 192540
Hương Khê	 id = 192857
Hương Sơn	 id = 192858
Hương Thủy	 id = 192859
Hương Trà	 id = 192860
Hướng Hóa	 id = 192861
Hữu Lũng	 id = 192862
Ia Grai	 id = 192863
Ia Pa	 id = 192864
KBang	 id = 192865
Kế Sách	 id = 192866
Khánh Sơn	 id = 192867
Khánh Vĩnh	 id = 192868
Khoái Châu	 id = 192869
Kiên Hải	 id = 192870
Kiên Lương	 id = 192871
Kiến An	 id = 192872
Kiến Thuỵ	 id = 192873
Kiến Xương	 id = 192874
Kim Bảng	 id = 192875
Kim Bôi	 id = 192876
Kim Động	 id = 192877
Kim Sơn	 id = 192878
Kim Thành	 id = 192879
Kinh Môn	 id = 192880
Kon Plông	 id = 192881
Kon Rẫy	 id = 192882
Kon Tum	 id = 192541
Kông Chro	 id = 192883
Krông Ana	 id = 192884
Krông Bông	 id = 192885
Krông Búk	 id = 192886
Krông Năng	 id = 192887
Krông Nô	 id = 192888
Krông Pa	 id = 192889
Krông Pắk	 id = 192890
Kỳ Anh	 id = 192891
Kỳ Sơn	 id = 192892
La Gi	 id = 192893
Lạc Dương	 id = 192894
Lạc Sơn	 id = 192895
Lạc Thuỷ	 id = 192896
Lai Châu	 id = 192897
Lai Vung	 id = 192898
Lang Chánh	 id = 192899
Lạng Giang	 id = 192900
Lạng Sơn	 id = 192542
Lào Cai	 id = 192543
Lâm Hà	 id = 192901
Lâm Thao	 id = 192902
Lấp Vò	 id = 192903
Lập Thạch	 id = 192904
Lê Chân	 id = 192905
Lệ Thủy	 id = 192906
Liên Chiểu	 id = 192907
Long Biên	 id = 192908
Long Đất	 id = 192909
Long Hồ	 id = 192910
Long Khánh	 id = 192911
Long Mỹ	 id = 192912
Long Phú	 id = 192913
Long Thành	 id = 183522
Long Xuyên	 id = 192544
Lộc Bình	 id = 192914
Lộc Hà	 id = 192915
Lộc Ninh	 id = 192916
Lục Nam	 id = 192917
Lục Ngạn	 id = 192918
Lục Yên	 id = 192919
Lương Sơn	 id = 192920
Lương Tài	 id = 192921
Lý Nhân	 id = 192922
Lý Sơn	 id = 192923
Mai Châu	 id = 192924
Mai Sơn	 id = 192925
Mang Thít	 id = 192926
Mang Yang	 id = 192927
M'Đrăk	 id = 192928
Tên thành phố,	 id = 192929
Mèo Vạc	 id = 192930
Mê Linh	 id = 189773
Minh Hóa	 id = 192931
Minh Long	 id = 184103
Mỏ Cày	 id = 192932
Móng Cái	 id = 192545
Mộ Đức	 id = 192933
Mộc Châu	 id = 191264
Mộc Hóa	 id = 192934
Mù Căng Chải	 id = 192935
Mường Áng	 id = 192936
Mường Chà	 id = 192937
Mường Khương	 id = 192938
Mường La	 id = 192939
Mường Lát	 id = 192940
Mường Lay	 id = 192941
Mường Nhé	 id = 192942
Mường Tè	 id = 192943
Mỹ Đức	 id = 192944
Mỹ Hào	 id = 192945
Mỹ Lộc	 id = 192946
Mỹ Tho	 id = 192546
Mỹ Tú	 id = 192947
Mỹ Xuyên	 id = 192948
Na Hang	 id = 192949
Na Rì	 id = 192950
Nam Đàn	 id = 192951
Nam Định	 id = 192547
Nam Đông	 id = 192952
Nam Giang	 id = 192953
Nam Sách	 id = 192954
Nam Trà My	 id = 192955
Nam Trực	 id = 192956
Năm Căn	 id = 192957
Nga Sơn	 id = 192958
Ngã Năm	 id = 192959
Ngân Sơn	 id = 192960
Nghi Lộc	 id = 192961
Nghi Xuân	 id = 192962
Nghĩa Đàn	 id = 192963
Nghĩa Hành	 id = 192964
Nghĩa Hưng	 id = 192965
Nghĩa Lộ	 id = 192966
Ngọc Hiển	 id = 192967
Ngọc Hồi	 id = 192968
Ngọc Lạc	 id = 192969
Ngô Quyền	 id = 192970
Ngũ Hành Sơn	 id = 192971
Nguyên Bình	 id = 192972
Nha Trang	 id = 191872
Nhà Bè	 id = 192973
Nho Quan	 id = 192974
Nhơn Trạch	 id = 192975
Như Thanh	 id = 192976
Như Xuân	 id = 192977
Ninh Bình	 id = 192548
Ninh Giang	 id = 192978
Ninh Hải	 id = 192979
Ninh Hòa	 id = 191786
Ninh Kiều	 id = 192980
Ninh Phước	 id = 192981
Ninh Sơn	 id = 192982
Nông Cống	 id = 192983
Núi Thành	 id = 192984
Ô Môn	 id = 192985
Pác Nặm	 id = 192986
Phan Thiết	 id = 192550
Phong Điền	 id = 192987
Phong Thổ	 id = 192988
Phổ Yên	 id = 192989
Phú Bình	 id = 192990
Phú Giáo	 id = 192991
Phú Hòa	 id = 192992
Phú Lộc	 id = 191440
Phú Lương	 id = 192993
Phú Nhuận	 id = 192994
Phú Ninh	 id = 192995
Phú Quý	 id = 192996
Phú Quốc	 id = 191462
Phú Tân	 id = 191845
Phú Thiện	 id = 192997
Phú Thọ	 id = 192998
Phú Vang	 id = 192999
Phú Xuyên	 id = 193000
Phù Cát	 id = 193001
Phù Cừ	 id = 193002
Phù Mỹ	 id = 193003
Phù Ninh	 id = 193004
Phù Yên	 id = 193005
Phủ Lý	 id = 192551
Phúc Thọ	 id = 193006
Phúc Yên	 id = 193007
Phục Hoà	 id = 193008
Phụng Hiệp	 id = 193009
Phước Long	 id = 193010
Phước Sơn	 id = 193011
Pleiku	 id = 192552
Quận 1	 id = 193012
Quận 2	 id = 193013
Quận 3	 id = 193014
Quận 4	 id = 193015
Quận 5	 id = 193016
Quận 6	 id = 193017
Quận 7	 id = 193018
Quận 8	 id = 193019
Quận 9	 id = 193020
Quận 10	 id = 193021
Quận 11	 id = 193022
Quận 12	 id = 193023
Quan Hóa	 id = 193024
Quan Sơn	 id = 193025
Quản Bạ	 id = 193026
Quang Bình	 id = 193027
Quảng Điền	 id = 193028
Quảng Hà	 id = 193029
Quảng Ngãi	 id = 192553
Quảng Ninh	 id = 193030
Quảng Trạch	 id = 193031
Quảng Trị	 id = 193032
Quảng Uyên	 id = 193033
Quảng Xương	 id = 193034
Quế Phong	 id = 193035
Quế Sơn	 id = 193036
Quế Võ	 id = 193037
Qui Nhơn	 id = 193038
Quốc Oai	 id = 193039
Quỳ Châu	 id = 193040
Quỳ Hợp	 id = 193041
Quỳnh Lưu	 id = 193042
Quỳnh Nhai	 id = 193043
Quỳnh Phụ	 id = 193044
Rạch Giá	 id = 192555
Sa Đéc	 id = 193045
Sa Pa	 id = 193046
Sa Thầy	 id = 193047
Sầm Sơn	 id = 193048
Si Ma Cai	 id = 193049
Sìn Hồ	 id = 193050
Sóc Sơn	 id = 193051
Sóc Trăng	 id = 191843
Sông Công	 id = 191325
Sông Hinh	 id = 193052
Sông Mã	 id = 193053
Sốp Cộp	 id = 193054
Sơn Động	 id = 193055
Sơn Dương	 id = 193056
Sơn Hà	 id = 193057
Sơn Hòa	 id = 193058
Sơn La	 id = 192556
Sơn Tây	 id = 193059
Sơn Tịnh	 id = 193060
Sơn Trà	 id = 193061
Tam Bình	 id = 193062
Tam Dương	 id = 193063
Tam Điệp	 id = 193064
Tam Đường	 id = 193065
Tam Kỳ	 id = 192557
Tam Nông	 id = 193066
Tánh Linh	 id = 193067
Tân An	 id = 192558
Tân Biên	 id = 193068
Tân Bình	 id = 193069
Tân Châu	 id = 193070
Tân Hiệp	 id = 193071
Tân Hưng	 id = 193072
Tân Kỳ	 id = 193073
Tân Lạc	 id = 193074
Tân Phú	 id = 193075
Tân Phước	 id = 193076
Tân Sơn	 id = 193077
Tân Thành	 id = 185845
Tân Thạnh	 id = 193078
Tân Trụ	 id = 193079
Tân Uyên	 id = 193080
Tân Yên	 id = 193081
Tây Giang	 id = 193082
Tây Hòa	 id = 193083
Tây Hồ	 id = 193084
Tây Ninh	 id = 193085
Tây Sơn	 id = 193086
Tây Trà	 id = 193087
Thạch An	 id = 193088
Thạch Hà	 id = 193089
Thạch Thành	 id = 193090
Thạch Thất	 id = 193091
Thái Bình	 id = 192559
Thái Nguyên	 id = 191310
Thái Thuỵ	 id = 193092
Than Uyên	 id = 193093
Thanh Ba	 id = 193094
Thanh Chương	 id = 193095
Thanh Hà	 id = 193096
Thanh Hóa	 id = 192560
Thanh Khê	 id = 193097
Thanh Liêm	 id = 193098
Thanh Miện	 id = 193099
Thanh Oai	 id = 193100
Thanh Sơn	 id = 193101
Thanh Thuỷ	 id = 193102
Thanh Trì	 id = 184366
Thanh Xuân	 id = 193103
Thạnh Hóa	 id = 193104
Thạnh Phú	 id = 193105
Thạnh Trị	 id = 193106
Tháp Mười	 id = 193107
Thăng Bình	 id = 193108
Thiệu Hóa	 id = 193109
Thọ Xuân	 id = 193110
Thoại Sơn	 id = 193111
Thông Nông	 id = 193112
Thốt Nốt	 id = 193113
Thới Bình	 id = 193114
Thủ Dầu Một	 id = 193115
Thủ Đức	 id = 193116
Thủ Thừa	 id = 193117
Thuận An	 id = 193118
Thuận Bắc	 id = 193119
Thuận Châu	 id = 193120
Thuận Thành	 id = 193121
Thuỷ Nguyên	 id = 193122
Thường Tín	 id = 193123
Thường Xuân	 id = 193124
Tiên Du	 id = 193125
Tiền Hải	 id = 193126
Tiên Lãng	 id = 193127
Tiên Lữ	 id = 193128
Tiên Phước	 id = 193129
Tiên Yên	 id = 193130
Tiểu Cần	 id = 193131
Tĩnh Gia	 id = 193132
Tịnh Biên	 id = 193133
Trà Bồng	 id = 193134
Trà Cú	 id = 193135
Trà Lĩnh	 id = 193136
Trà Ôn	 id = 193137
Trà Vinh	 id = 192561
Trạm Tấu	 id = 193138
Tràng Định	 id = 193139
Trảng Bàng	 id = 193140
Trảng Bom	 id = 193141
Trấn Yên	 id = 193142
Trần Văn Thời	 id = 193143
Tri Tôn	 id = 193144
Triệu Phong	 id = 193145
Triệu Sơn	 id = 193146
Trực Ninh	 id = 193147
Trường Sa	 id = 193148
Tủa Chùa	 id = 193149
Tuần Giáo	 id = 193150
Tu Mơ Rông	 id = 193151
Tuy An	 id = 193152
Tuy Đức	 id = 193153
Tuy Hòa	 id = 192562
Tuy Phong	 id = 193154
Tuy Phước	 id = 193155
Tuyên Hóa	 id = 193156
Tuyên Quang	 id = 192563
Tư Nghĩa	 id = 193157
Tứ Kỳ	 id = 193158
Từ Liêm	 id = 193159
Từ Sơn	 id = 193160
Tương Dương	 id = 193161
U Minh	 id = 193162
U Minh Thượng	 id = 193163
Uông Bí	 id = 192564
Ứng Hoà	 id = 193164
Vạn Ninh	 id = 193165
Văn Bàn	 id = 193166
Văn Chấn	 id = 193167
Văn Giang	 id = 193168
Vãn Lãng	 id = 193169
Văn Lâm	 id = 193170
Văn Quan	 id = 193171
Văn Yên	 id = 193172
Vân Canh	 id = 193173
Vân Đồn	 id = 193174
Vị Thanh	 id = 192565
Vị Thuỷ	 id = 193175
Vị Xuyên	 id = 193176
Việt Trì	 id = 187009
Việt Yên	 id = 193177
Vinh	 id = 192566
Vĩnh Bảo	 id = 193178
Vĩnh Châu	 id = 193179
Vĩnh Cửu	 id = 193180
Vĩnh Hưng	 id = 193181
Vĩnh Linh	 id = 193182
Vĩnh Long	 id = 192567
Vĩnh Lộc	 id = 193183
Vĩnh Lợi	 id = 186166
Vĩnh Thạnh	 id = 193184
Vĩnh Thuận	 id = 191164
Vĩnh Tường	 id = 193185
Vĩnh Yên	 id = 192568
Võ Nhai	 id = 193186
Vũ Quang	 id = 193187
Vũ Thư	 id = 193188
Vụ Bản	 id = 193189
Vũng Liêm	 id = 193190
Vũng Tầu	 id = 193191
Xín Mần	 id = 193192
Xuân Lộc	 id = 193193
Xuân Trường	 id = 193194
Xuyên Mộc	 id = 193195
Ý Yên	 id = 193196
Yên Bái	 id = 192570
Yên Bình	 id = 193197
Yên Châu	 id = 193198
Yên Dũng	 id = 193199
Yên Định	 id = 193200
Yên Hưng	 id = 193201
Yên Khánh	 id = 193202
Yên Lạc	 id = 193203
Yên Lập	 id = 193204
Yên Minh	 id = 193205
Yên Mô	 id = 193206
Yên Mỹ	 id = 193207
Yên Phong	 id = 193208
Yên Sơn	 id = 193209
Yên Thành	 id = 193210
Yên Thế	 id = 193211
Yên Thuỷ	 id = 193212
Cần Thơ	 id = 192515
Đà Nẵng	 id = 191875
Hải Phòng	 id = 192516
An Giang	 id = 193213
Bà Rịa-Vũng Tàu	 id = 193214
Bình Định	 id = 193215
Bình Dương	 id = 193216
Bình Phước	 id = 193217
Bình Thuận	 id = 193218
Đắk Lắk	 id = 193219
Đắk Nông	 id = 193220
Đồng Nai	 id = 185135
Đồng Tháp	 id = 193221
Gia Lai	 id = 193222
Hà Nam	 id = 193223
Hà Tây	 id = 193224
Hòa Bình	 id = 192537
Hậu Giang	 id = 193225
Vũng Tàu	 id = 192569
Quy Nhơn	 id = 192554
Khánh Hòa	 id = 191715
Kiên Giang	 id = 193226
Lâm Đồng	 id = 193227
Long An	 id = 193228
Nghệ An	 id = 193229
Ninh Thuận	 id = 193230
Phú Yên	 id = 193231
Quảng Bình	 id = 193232
Quảng Nam	 id = 193233
Tiền Giang	 id = 193234
Vĩnh Phúc	 id = 193235
Bà Rịa Vũng Tàu	 id = 193236
Ngã Bảy	 id = 193237
Nhơn Hội	 id = 193238
Thừa Thiên	 id = 193239
Thừa Thiên Huế	 id = 193240
TT Huế	 id = 193241
Thừa Thiên-Huế	 id = 193242
TT-Huế	 id = 193243
Bà Triệu	 id = 193244
Cái Lân	 id = 191238
Thác Bà	 id = 193245
Thiên Trường	 id = 184732
Cửa Bắc	 id = 193246
Cửa Nam	 id = 193247
Cửa Đông	 id = 193248
Đồng Lư	 id = 193249
CSG	 id = 193250
Mĩ Đức	 id = 193251
Mĩ Tho	 id = 193252
Mĩ Tú	 id = 193253
Mĩ Xuyên	 id = 193254
Mĩ Lộc	 id = 193255
Mĩ Hào	 id = 193256
Chợ Lớn	 id = 193257
Đá Tây	 id = 193258
Kênh Tẻ	 id = 193259
Văn Thánh	 id = 193260
đồng bằng sông hồng	 id = 193261
Đường Lâm	 id = 193262
Cự Đà	 id = 193263
Lăng Cô	 id = 193264
Thu Bồn	 id = 193265
Bạch Mã	 id = 193266
Hải Vân	 id = 193267
Thụy Khuê	 id = 193268
Nam Thăng Long	 id = 193269
Chương Dương	 id = 191236
Giải Phóng	 id = 193270
Liễu Giai	 id = 193271
Cổ Loa	 id = 193272
đền hùng	 id = 193273
hoàng thành thăng long	 id = 193274
thành cổ thăng long	 id = 193275
Kỳ Đồng	 id = 193276
Hòn Gai	 id = 193277
Bãi Cháy	 id = 193278
Quan Lạn	 id = 193279
Gò Đậu	 id = 193280
Chùa Cuối	 id = 193281
Quần Ngựa	 id = 193282
Cổ Nhuế	 id = 193283
cung văn hóa hữu nghị hà nội	 id = 193284
cung văn hóa hữu nghị việt xô	 id = 193285
Dốc Lết	 id = 193286
Vọng Cảnh	 id = 193287
Đầm Sen	 id = 193288
Hàng Da	 id = 193289
Hàng Đào	 id = 193290
Hàng Ngang	 id = 193291
Quán Sứ	 id = 193292
Hàng Buồm	 id = 193293
Bái Tử Long	 id = 193294
hà nội tower	 id = 193295
trung tâm hội chợ triển lãm việt nam	 id = 193296
Suối Tiên	 id = 193297
Trung Bộ	 id = 193298
Thanh Xuân Bắc	 id = 193299
Phả Lại	 id = 193300
Ô Chợ Dừa	 id = 193301
Ô Quan Chưởng	 id = 193302
Hàng Đẫy	 id = 193303
xứ Nghệ	 id = 193304
viôlắc	 id = 193305
vi-ô-lắc	 id = 193306
Văn Điển	 id = 193307
Quận Ba Ðình	 id = 193308
Đàlạt	 id = 193309
Tourane	 id = 193310
Lĩnh Nam	 id = 193311
Bắc Cạn	 id = 193312
Xứ Lạng	 id = 193313
Cửu Long	 id = 186977
Quần đảo Hoàng Sa	 id = 193314
Thánh địa Mỹ Sơn	 id = 193315
ĐBP	 id = 193316
Mỹ Sơn	 id = 193317
BRVT	 id = 193318
Faifoo	 id = 193319
Hội an	 id = 192538
Đồ sơn	 id = 192788
Ba bể	 id = 192661
Ba-bể	 id = 193320
Sa pa	 id = 193046
Sa-pa	 id = 193321
Đà lạt	 id = 192529
Đà-lạt	 id = 193322
Phú quốc	 id = 191462
Côn đảo	 id = 192746
Thành phố Đà Nẵng	 id = 193323
Tỉnh An Giang	 id = 193324
Lan Thương	 id = 193325
Trưng Trắc	 id = 193326
Trưng Nhị	 id = 193327
Đăk Lăk	 id = 193328
Thái nguyên	 id = 191310
Thị xã Hà Đông	 id = 193329
Mêkông	 id = 193330
Cù lao Thu	 id = 193331
QL1A	 id = 193332
Phan thiết	 id = 192550
Văn Miếu-Quốc Tử Giám	 id = 193333
Chùa Một Cột	 id = 193334
Bạch Đằng	 id = 193335
Thành cổ Quảng Trị	 id = 193336
Hầm Hải Vân	 id = 193337
Đèo Hải Vân	 id = 193338
Thừa Thiên - Huế	 id = 193339
Chùa Vĩnh Nghiêm	 id = 193340
Plei Cu	 id = 193341
Nguyễn Thị Định	 id = 193342
Hàng Bạc	 id = 193343
Thành phố Việt Trì	 id = 193344
Cửu Long Giang	 id = 193345
Mê Không	 id = 193346
Ban Mê Thuột	 id = 193347
Phan Xi Păng	 id = 193348
Côn-Đảo	 id = 193349
Chùa Thiên Mụ	 id = 193350
Vân Phong	 id = 193351
Chùa Thầy	 id = 193352
Thành phố Huế	 id = 193353
Chùa Quán Sứ	 id = 193354
Chùa Trấn Quốc	 id = 193355
Chùa Phật Tích	 id = 193356
Chùa Hương	 id = 193357
Huyện Nam Ðàn	 id = 193358
Chùa một cột	 id = 193334
Diên Hựu	 id = 193359
Liên Hoa Đài	 id = 193360
Đền Ngọc Sơn	 id = 193361
Phú Xuân	 id = 184864
Hai bà Trưng	 id = 192831
Giao Chỉ	 id = 193362
Lan Thương Giang	 id = 193363
Triệu Thị Trinh	 id = 193364
Triệu Ẩu	 id = 193365
Sapa	 id = 193366
Đắc Lắc	 id = 192590
Dak Lak	 id = 193367
sân bay quốc tế Tân Sơn Nhất	 id = 193368
Huyện Tiên Phước	 id = 193369
Phi trường Tân Sơn Nhất	 id = 193370
Tân Sơn Nhứt	 id = 193371
sân bay Tân Sơn Nhứt	 id = 193372
Phi trường Tân Sơn Nhứt	 id = 193373
sân bay Quốc tế Tân Sơn Nhất	 id = 193368
Phi trường quốc tế Tân Sơn Nhất	 id = 193374
Phi trường Quốc tế Tân Sơn Nhất	 id = 193374
sân bay quốc tế Tân Sơn Nhứt	 id = 193375
sân bay Quốc tế Tân Sơn Nhứt	 id = 193375
