đại đồng tiểu dị	 id = 198987
Gordon Brown	 id = 199222
Abe	 id = 199223
Ariel Sharon	 id = 199224
Blair	 id = 182142
Vũ Khoan	 id = 199225
Hoàng Trung Hải	 id = 199226
Tiger Woods	 id = 199227
Raikkonen	 id = 199228
Hamilton	 id = 180729
Thành Chương	 id = 199229
Tô Ngọc Vân	 id = 199230
Trần Văn Cẩn	 id = 199231
Bùi Xuân Phái	 id = 199232
Dương Bích Liên	 id = 199233
Nguyễn Tư Nghiêm	 id = 199234
Michael Jackson	 id = 199235
Lạc Long Quân	 id = 199236
Âu Cơ	 id = 199237
Lê Khanh	 id = 199238
Long Vũ	 id = 199239
Tạ Bích Loan	 id = 199240
Hồng Cư	 id = 199241
Xuân Hinh	 id = 199242
Xuân Bắc	 id = 199243
Tự Long	 id = 199244
Quang Thắng	 id = 199245
Mel Gibson	 id = 199246
Dương Thụ	 id = 199247
Phó Đức Phương	 id = 199248
Anh Thư	 id = 197493
Bằng Lăng	 id = 199249
Tăng Thanh Hà	 id = 199250
Hugo Chavez	 id = 199251
Mĩ Linh	 id = 199252
Mĩ Tâm	 id = 199253
Chu Lai	 id = 199254
Lưu Đức Hoa	 id = 199255
Lý Liên Kiệt	 id = 199256
Dương Tử Quỳnh	 id = 199257
Tạ Đình Phong	 id = 199258
Trương Vệ Kiện	 id = 199259
Thành Long	 id = 191178
Madonna	 id = 199260
Năm Cam	 id = 199261
Nguyễn Như Phong	 id = 199262
Dung Hà	 id = 199263
Nguyễn Việt Thành	 id = 199264
Nguyễn Ái Quốc	 id = 199265
Nguyễn Văn Linh	 id = 199266
Hồng Nhung	 id = 197561
Adolf Hitler	 id = 199267
Hitler	 id = 199268
Mai Văn Dâu	 id = 199269
Nguyễn Long	 id = 199270
Trương Ngọc Ánh	 id = 199271
Tấn Minh	 id = 199272
Đặng Nhật Minh	 id = 199273
Christina Aguilera	 id = 188634
Võ Văn Tần	 id = 199274
Nadal	 id = 199275
Sa Huỳnh	 id = 199276
Lê Vy	 id = 199277
Lê Vi	 id = 199278
pele	 id = 199279
Nguyên Vũ	 id = 199280
Đoan Trang	 id = 199281
Jessica Biel	 id = 199282
Trần Khánh Dư	 id = 199283
Đào Duy Anh	 id = 199284
Lê Văn Lương	 id = 199285
Phạm Hùng	 id = 199286
Phạm Văn Đồng	 id = 199287
Thanh Lam	 id = 199288
Mai Khôi	 id = 199289
Dương Yến Ngọc	 id = 199290
Lương Triều Vỹ	 id = 199291
Trần Hữu Trang	 id = 199292
Britney	 id = 199293
Đỗ Bảo	 id = 199294
Ngọc Đại	 id = 199295
Minh Ánh	 id = 199296
Minh Anh	 id = 187041
Ngọc Châu	 id = 199297
Hà Trần	 id = 199298
Nguyễn Thiện Đạo	 id = 199299
Quang Linh	 id = 199300
Nguyễn Nhật Ánh	 id = 199301
Bùi Bích Phương	 id = 199302
Trịnh Vĩnh Trinh	 id = 199303
Ánh Tuyết	 id = 199304
Lan Hương	 id = 197605
Minh Thuận	 id = 199305
Bảo Phúc	 id = 190517
Quốc Trung	 id = 197683
Phạm Hoàng Nam	 id = 199306
Vũ Ngọc Đãng	 id = 199307
Nguyễn Thị Huyền	 id = 199308
Lê Lựu	 id = 199309
Lưu Trọng Ninh	 id = 199310
Doãn Hoàng Giang	 id = 199311
Xuân Lan	 id = 197783
Russell Crowe	 id = 199312
Demi Moore	 id = 199313
Aston Kutcher	 id = 199314
Nam Khánh	 id = 199315
Hoàng Bách	 id = 199316
Lý Hùng	 id = 199317
Việt Trinh	 id = 199318
Diễm Hương	 id = 197531
Ngọc Hiệp	 id = 199319
Châu Tấn	 id = 199320
Trương Tịnh Sơ	 id = 199321
Hugh Grant	 id = 199322
Eva Longoria	 id = 199323
Matt Damon	 id = 199324
Jennifer Lopez	 id = 188580
Elton John	 id = 199325
Megan Fox	 id = 199326
Michelle Pfeiffer	 id = 199327
Victoria Beckham	 id = 199328
Thư Kỳ	 id = 199329
Hilary Duff	 id = 181762
Angelina	 id = 199330
Đỗ Hoàng Diệu	 id = 199331
Nicole Kidman	 id = 199332
Nguyễn Phi Hùng	 id = 199333
Thu Phương	 id = 199334
Bằng Kiều	 id = 199335
Tuấn Ngọc	 id = 199336
Roman Abramovich	 id = 199337
Mai Phương Thúy	 id = 199338
Bảo Thy	 id = 199339
Drew Barrymore	 id = 199340
Tăng Nhật Tuệ	 id = 199341
Valentino Garavani	 id = 199342
John Galliano	 id = 179811
Ralph Lauren	 id = 178715
Charlize Theron	 id = 199343
Julia Roberts	 id = 199344
Leonardo DiCaprio	 id = 199345
Michael Jordan	 id = 199346
Oprah Winfrey	 id = 199347
Bon Jovi	 id = 199348
Jay-Z	 id = 199349
Johnny Depp	 id = 199350
Steven Spielberg	 id = 199351
Tom Hanks	 id = 199352
Adam Sandler	 id = 199353
Ben Stiller	 id = 199354
Gisele Bundchen	 id = 199355
Vince Vaughn	 id = 199356
Valentino Rossi	 id = 199357
Jessica Simpson	 id = 179250
Tyra Banks	 id = 199358
Cate Blanchett	 id = 199359
Sandra Bullock	 id = 199360
Scarlett Johansson	 id = 199361
Daniel Radcliffe	 id = 199362
Heidi Klum	 id = 199363
Dakota Fanning	 id = 199364
Emma Watson	 id = 199365
Sỹ Luân	 id = 199366
Kim Thành Vũ	 id = 199367
Vàng Anh	 id = 199368
Đỗ Thanh Hải	 id = 199369
Mỹ Duyên	 id = 199370
Hà Dũng	 id = 199371
Tuấn Khanh	 id = 199372
Siu Black	 id = 199373
Hoàng Phủ Ngọc Tường	 id = 199374
Lâm Thị Mỹ Dạ	 id = 199375
Thân Thúy Hà	 id = 199376
shakespeare	 id = 192021
Sienna Miller	 id = 199377
Jude Law	 id = 199378
Lê Vũ Long	 id = 199379
Sherlock Holmes	 id = 199380
Conan Doyle	 id = 199381
David Bowie	 id = 199382
Robbie Williams	 id = 199383
John Lennon	 id = 181763
Paul McCartney	 id = 199384
Trần Tiến	 id = 199385
Trần Hiếu	 id = 199386
Bảo Yến	 id = 197511
Mariah Carey	 id = 188589
Mỹ Lệ	 id = 199387
Dũng Yoko	 id = 199388
Bjork	 id = 199389
Sharon Stone	 id = 199390
Kylie Minogue	 id = 188645
Renee Zellweger	 id = 199391
Orlando Bloom	 id = 199392
Janet Jackson	 id = 199393
Sophie Marceau	 id = 199394
Lê Thụy Hải	 id = 199395
Thích Nhất Hạnh	 id = 199396
Terry Fox	 id = 199397
Nguyễn Văn An	 id = 199398
Trần Đức Lương	 id = 199399
Kinh Dương Vương	 id = 199400
Lang Liêu	 id = 199401
vua hùng	 id = 199402
Đỗ Quang Trung	 id = 199403
Owen Wilson	 id = 199404
Phạm Thế Duyệt	 id = 199405
Lê Hồng Anh	 id = 199406
Trần Văn Tuấn	 id = 199407
Hà Hùng Cường	 id = 199408
Võ Hồng Phúc	 id = 199409
Vũ Huy Hoàng	 id = 199410
Cao Đức Phát	 id = 199411
Hồ Nghĩa Dũng	 id = 199412
Phạm Khôi Nguyên	 id = 199413
Lê Doãn Hợp	 id = 199414
Nguyễn Hồng Quân	 id = 199415
Nguyễn Thị Kim Ngân	 id = 199416
Hoàng Tuấn Anh	 id = 199417
Hoàng Văn Phong	 id = 199418
Nguyễn Quốc Triệu	 id = 199419
Giàng Seo Phử	 id = 199420
Nguyễn Văn Giàu	 id = 199421
Nguyễn Xuân Phúc	 id = 199422
Trần Đăng Tuấn	 id = 199423
Vũ Văn Hiến	 id = 199424
Thúy Hạnh	 id = 199425
Kate Hudson	 id = 199426
Lệ Quyên	 id = 199427
Angela Merkel	 id = 199428
Kaka	 id = 199429
Nicolas Sarkozy	 id = 199430
Lý Đức	 id = 199431
Phạm Văn Mách	 id = 199432
sheva	 id = 199433
Lưu Hiểu Khánh	 id = 199434
Lê Nam Thắng	 id = 199435
Trần Đức Lai	 id = 199436
Đỗ Hữu Hào	 id = 199437
Trương Hòa Bình	 id = 199438
Nguyễn Thế Thảo	 id = 199439
Nguyễn Thị Doan	 id = 199440
Surayud Chulanont	 id = 199441
Condoleezza Rice	 id = 199442
Lý Hiển Long	 id = 199443
Nguyễn Trọng Hỷ	 id = 199444
Mai Đức Chung	 id = 199445
Trần Công Minh	 id = 199446
van der sar	 id = 199447
Federer	 id = 199448
Phạm Anh Khoa	 id = 199449
David Beckham	 id = 188591
Becks	 id = 199450
Nguyễn Danh Thái	 id = 199451
Won Bin	 id = 199452
Lê Thế Tiệm	 id = 199453
Beck	 id = 199454
Vương Đình Huệ	 id = 199455
osama bin laden	 id = 199456
Y Moan	 id = 199457
Lương Vịnh Kỳ	 id = 199458
Châu Tinh Trì	 id = 199459
Franck Ribery	 id = 199460
Bae Yong Joon	 id = 199461
Choi Ji Woo	 id = 199462
Lee Byung Heon	 id = 199463
Lee Young Ae	 id = 199464
Ahn Jae Wook	 id = 199465
Ha Ji Won	 id = 199466
Moon Geun Young	 id = 199467
Kim Jae Won	 id = 199468
Kim Ha Neul	 id = 199469
Lee Hyori	 id = 199470
jang dong gun	 id = 199471
jang na ra	 id = 199472
song hye gyo	 id = 199473
song hye kyo	 id = 199474
bae yong jun	 id = 199475
Uma Thurman	 id = 199476
Arnold Schwarzenegger	 id = 199477
Jennifer Love Hewitt	 id = 199478
Lucy Liu	 id = 199479
Nicolas Cage	 id = 199480
Jim Carrey	 id = 199481
Henin	 id = 199482
Serena	 id = 199483
Chakvetadze	 id = 199484
Carlos Tevez	 id = 199485
Owen Hargreaves	 id = 199486
Tevez	 id = 199487
Hargreaves	 id = 199488
Djokovic	 id = 199489
Dương Kỳ Anh	 id = 199490
Hà Anh Tuấn	 id = 199491
Phương Linh	 id = 199492
kaká	 id = 199493
Alexandre De Rhodes	 id = 199494
Alexandre de Rhodes	 id = 199494
Hồ Biểu Chánh	 id = 199495
Ngô Đình Diệm	 id = 199496
Nguyễn Sinh Cung	 id = 199497
Nguyễn Tất Thành	 id = 199498
Hamasaki Ayumi	 id = 199499
Ayumi	 id = 199500
Ayu	 id = 181516
Văn Tiến Dũng	 id = 199501
Giang Trạch Dân	 id = 199502
Nguyễn Văn Thiệu	 id = 199503
Tản Đà	 id = 199504
Kim Vân Kiều	 id = 199505
Ngô Ðình Diệm	 id = 199506
Trương Vĩnh Ký	 id = 199507
Dương Văn Minh	 id = 199508
Isaac Newton	 id = 199509
Isắc Niu tơn	 id = 199510
Isắc Niutơn	 id = 199511
Isắc Niu-tơn	 id = 199512
Kim Dung	 id = 197590
Tra Lương Dung	 id = 199513
Thành Cát Tư Hãn	 id = 199514
A-lịch-sơn Đắc Lộ	 id = 199515
Alexandre de rhodes	 id = 199494
A-lịch-sơn đắc lộ	 id = 199515
Alịchsơn đắc lộ	 id = 199516
Giáo sĩ Đắc Lộ	 id = 199517
Giáo sĩ đắc lộ	 id = 199517
Johann Sebastian Bach	 id = 199518
JS Bach	 id = 199519
Einstein	 id = 187918
Bach	 id = 199520
An Dương Vương	 id = 199521
Thục Phán	 id = 199522
Petrus Ký	 id = 199523
Bác Hồ	 id = 198995
A Lịch Sơn Đắc Lộ	 id = 199524
Alfred Nobel	 id = 199525
Huỳnh Phú Sổ	 id = 199526
Hà Huy Tập	 id = 199527
Nguyễn Văn Cúc	 id = 199528
Nguyễn Sinh Sắc	 id = 199529
Bảo Ninh	 id = 199530
Marie Curie	 id = 199531
Stephen Hawking	 id = 199532
Hoàng Văn Thái	 id = 199533
Huy Cận	 id = 199534
Xuân Diệu	 id = 197781
Tô Hoài	 id = 199535
Nguyễn Tuân	 id = 199536
Vũ Trọng Phụng	 id = 199537
Martin Luther King, Jr.	 id = 199538
Pythagore	 id = 199539
Tư Mã Thiên	 id = 199540
Trần Đăng Khoa	 id = 199541
Trần Đăng Khoa (nhà thơ)	 id = 199542
Trần Quốc Vượng	 id = 199543
Wolfgang Amadeus Mozart	 id = 199544
Mozart	 id = 199545
Wolfgang Mozart	 id = 199546
Kofi Annan	 id = 199547
La Quán Trung	 id = 199548
Lê Đức Thọ	 id = 199549
Đinh Đức Thiện	 id = 199550
John F. Kennedy	 id = 199551
Nguyễn Sơn	 id = 191210
Gia Long	 id = 199552
Quan Vũ	 id = 199553
Ludwig van Beethoven	 id = 199554
Trần Văn Trà	 id = 199555
Elvis Presley	 id = 180959
Donald Knuth	 id = 199556
Phạm Tuân	 id = 199557
BoA	 id = 199558
Yuri Alekseievich Gagarin	 id = 199559
Linus Torvalds	 id = 199560
Linus Benedict Torvalds	 id = 199561
James Gosling	 id = 199562
Saddam Hudsein	 id = 199563
Sátđam Hutxen	 id = 199564
Sađam Hutxen	 id = 199565
Saddam Husayn	 id = 199566
Saddam Hussain	 id = 199567
Bảo Đại	 id = 199568
Nguyễn Bính	 id = 199569
Nhạc Phi	 id = 199570
Socrates	 id = 199571
William Jefferson Clinton	 id = 199572
Nguyễn Cao Kỳ	 id = 199573
Yuri Alekseyevich Gagarin	 id = 199574
Iuri Gagarin	 id = 199575
Nguyễn Cao Kỳ Duyên	 id = 199576
Tướng cao bồi	 id = 199577
Tướng râu kẽm	 id = 199578
Trần Trọng Kim	 id = 199579
Văn Cao	 id = 199580
Nguyễn Trường Tộ	 id = 199581
Hoàng Xuân Hãn	 id = 199582
Dmitri Ivanovich Mendeleev	 id = 199583
Benedict XVI	 id = 199584
Leonardo da Vinci	 id = 199585
Biển Vàng	 id = 199586
Évariste Galois	 id = 199587
Lý Bạch	 id = 199588
Joseph Alois Ratzinger	 id = 199589
Joseph Ratzinger	 id = 199590
Bênêđictô XVI	 id = 199591
Nguyễn Phúc Ánh	 id = 199592
Beneđictô XVI	 id = 199593
Jacques Chirac	 id = 199594
Martin Luther King	 id = 199595
René Descartes	 id = 199596
Rene Descartes	 id = 199597
Đêcactơ	 id = 199598
Đệ Các	 id = 199599
William Gates	 id = 199600
Socrate	 id = 199601
Xôcrat	 id = 199602
Lí Bạch	 id = 199603
Mahatma Gandhi	 id = 199604
Mohandas Karamchand Gandhi	 id = 199605
Mohandas Gandhi	 id = 199606
Trịnh Xuân Thuận	 id = 199607
Descartes	 id = 199608
Trịnh xuân Thuận	 id = 199607
Nguyễn Sinh Côn	 id = 199609
Mahātmā Gāndhī	 id = 199610
Evariste Galois	 id = 199611
Đặng Thai Mai	 id = 199612
Chế Lan Viên	 id = 199613
Minh Đạo	 id = 199614
Max Planck	 id = 199615
Max Karl Ernst Ludwig Planck	 id = 199616
Biển Đức XVI	 id = 199617
Nguyễn Văn Cao	 id = 199618
Zinédine Zidane	 id = 199619
Zinedine Zidane	 id = 199620
Zinédine Yazid Zidane	 id = 199621
Zizou	 id = 199622
Tạ Quang Bửu	 id = 199623
Trần Bạch Đằng	 id = 199624
Nguyễn Tường Vân	 id = 199625
Gandhi	 id = 199626
Saddām Hussein	 id = 199627
Tôn Dật Tiên	 id = 199628
Ông Ké	 id = 199629
Huyền Quang	 id = 199630
Pháp Loa	 id = 199631
Gia Cát Lượng	 id = 199632
Bạch Thái Bưởi	 id = 199633
Bạch thái bưởi	 id = 199633
Hốt Tất Liệt	 id = 199634
Thiết Mộc Chân	 id = 199635
Ký năm	 id = 199636
Ký Năm	 id = 199636
Chúa sông Bắc Kỳ	 id = 199637
Chúa sông Bắc kỳ	 id = 199637
Trần Bạch Ðằng	 id = 199638
Nguyên Thế Tổ	 id = 199639
Kublai Khan	 id = 199640
Khubilai Khan	 id = 199641
Mao Chủ tịch	 id = 199642
Nhuận Chi	 id = 199643
Hồ Chủ tịch	 id = 199644
Nguyễn văn Thiệu	 id = 199503
Khổng Minh	 id = 199645
Ngọa Long tiên sinh	 id = 199646
Samuel Eto'o	 id = 199647
Vua Bảo Đại	 id = 199648
Nguyễn Phúc Vĩnh Thụy	 id = 199649
Phạm Xuân Ẩn	 id = 199650
Avril Lavigne	 id = 199651
Rudolf Diesel	 id = 199652
Phan Thị Mỹ Tâm	 id = 199653
Rudolf Christian Karl Diesel	 id = 199654
Mãn Giác	 id = 199655
George Washington	 id = 199656
Vua Gia Long	 id = 199657
Lệ Thần	 id = 199658
Thái Thanh	 id = 199659
Phạm Thị Băng Thanh	 id = 199660
Audrey Hepburn	 id = 199661
Audrey Kathleen Ruston	 id = 199662
Ngô Thụy Miên	 id = 199663
Ngô Quảng Bình	 id = 199664
Lý Chiêu Hoàng	 id = 199665
Claude Monet	 id = 199666
Abraham Lincoln	 id = 199667
Ferdinand Magellan	 id = 199668
Thái Thượng Lão Quân	 id = 199669
Nguyễn Tường Tam	 id = 199670
Adriano Leite Ribeiro	 id = 199671
Bảo Ðại	 id = 199672
Anhxtanh	 id = 199139
Nguyễn Xuân Khoát	 id = 199673
Dương Thiệu Tước	 id = 199674
Vũ Thành An	 id = 199675
Hàn Mặc Tử	 id = 199676
Victor Hugo	 id = 199677
Cổ Long	 id = 199678
Trần Ðăng Khoa	 id = 199679
Trần Huyền Trang	 id = 199680
Huyền Trang	 id = 199681
Khổng Khâu	 id = 199682
Trọng Ni	 id = 199683
Napoléon Bonaparte	 id = 199684
Napôlêông	 id = 199685
Napoleon	 id = 191453
Napoleon Bonaparte	 id = 199686
Napoléon	 id = 199687
Kiều Chinh	 id = 199688
Nguyễn Đình Thi	 id = 199689
Nguyễn Khải	 id = 199690
Nguyễn Mạnh Khải	 id = 199691
Sigmund Freud	 id = 199692
Anthony Charles Lynton Blair	 id = 199693
Anthony Blair	 id = 199694
Nguyễn Mạnh Tường	 id = 199695
Blair, Anthony Charles Lynton	 id = 199696
Blair, Anthony	 id = 199697
Blair, Tony	 id = 199698
Washington, George	 id = 199699
JFK	 id = 199700
John Fitzgerald Kennedy	 id = 199701
John F Kennedy	 id = 199702
Jack Kennedy	 id = 199703
Clinton, Bill	 id = 199704
Clinton, William	 id = 199705
Clinton, William Jefferson	 id = 199706
Clinton, Bill Jefferson	 id = 199707
William Jefferson Blyth III	 id = 199708
Blyth, William Jefferson III	 id = 199709
Blyth, William III	 id = 199710
Huyền Trân	 id = 199711
Huyền Trân công chúa	 id = 199712
Huyền Trân Công chúa	 id = 199712
Công chúa Huyền Trân	 id = 199713
Nguyên Ngọc	 id = 199714
Nguyễn Văn Báu	 id = 199715
Richard Clayderman	 id = 199716
Paris Whitney Hilton	 id = 199717
Stephen William Hawking	 id = 199718
Alfred Hitchcock	 id = 199719
Francesco Toldo	 id = 199720
Michael Faraday	 id = 199721
Nguyễn Văn Huyên	 id = 199722
Galileo Galilei	 id = 199723
Đặng Hữu Phúc	 id = 199724
Karl Marx	 id = 199725
Osama bin Laden	 id = 199456
Leonardo Da Vinci	 id = 199585
J. K. Rowling	 id = 199726
William J. Clinton	 id = 199727
Sadam Husein	 id = 199728
Joanne Rowling	 id = 199729
Jo Rowling	 id = 199730
J.K. Rowling	 id = 199731
JK Rowling	 id = 199732
J K Rowling	 id = 199733
Hàn Mạc Tử	 id = 199734
Teddy Sheringham	 id = 199735
Phan Văn Tài Em	 id = 199736
Phan Khôi	 id = 199737
Bùi Giáng	 id = 199738
David Livingstone	 id = 199739
Melinda Gates	 id = 199740
Margaret Thatcher	 id = 199741
Alan Smith	 id = 199742
Lý Quang Diệu	 id = 199743
Lee Kuan Yew	 id = 199744
Lee Kwan-Yew	 id = 199745
Harry Lee Kuan Yew	 id = 199746
Agatha Christie	 id = 199747
Ozzy Osbourne	 id = 199748
Marilyn Monroe	 id = 180947
Jackie Chan	 id = 199749
Slobodan Milošević	 id = 199750
Slobodan Milosevic	 id = 199751
Bùi Tường Phong	 id = 199752
Galileo	 id = 199753
Napolêông	 id = 199754
Nã Phá Luân	 id = 199755
Nã Phá Lôn	 id = 199756
Ernest Hemingway	 id = 199757
Ernest Miller Hemingway	 id = 199758
Hemingway, Ernest Miller	 id = 199759
Hemingway, Ernest	 id = 199760
