tây á	 id = 195322
chdcnd triều tiên	 id = 195427
houston	 id = 195428
bangladesh	 id = 195429
palermo	 id = 195430
jakarta	 id = 195431
moscow	 id = 195432
kuala lumpur	 id = 195433
chlb đức	 id = 195434
chicago	 id = 195435
vatican	 id = 195436
uzbekistan	 id = 195437
nuremberg	 id = 195438
sicily	 id = 195439
kuwait	 id = 195440
jordan	 id = 180662
nam mỹ	 id = 195441
gaza	 id = 195442
bắc âu	 id = 195443
benfica	 id = 195444
espanyol	 id = 195445
macau	 id = 195446
busan	 id = 195447
phnom penh	 id = 195448
lebanon	 id = 195449
sudan	 id = 195450
sydney	 id = 195451
bangalore	 id = 195452
porto	 id = 195453
quảng châu	 id = 184485
manila	 id = 195454
nam á	 id = 195455
nigeria	 id = 195456
columbia	 id = 179063
seattle	 id = 195457
saint petersburg	 id = 195458
bombay	 id = 195459
victoria	 id = 178708
brunei	 id = 195460
lille	 id = 195461
bali	 id = 182151
berlin	 id = 195462
fullham	 id = 195463
scotland	 id = 195464
mê kông	 id = 195465
bordeaux	 id = 191562
tứ xuyên	 id = 195466
luân đôn	 id = 195467
wales	 id = 195468
michigan	 id = 195469
tehran	 id = 195470
đông timor	 id = 195471
chechnya	 id = 195472
panama	 id = 195473
cairo	 id = 195474
nevada	 id = 195475
amsterdam	 id = 179203
beverly hills	 id = 188758
hong kong	 id = 195476
buenos aires	 id = 195477
marốc	 id = 195478
ả rập	 id = 195479
trung mỹ	 id = 195480
pakistan	 id = 195481
redmond	 id = 195482
vũ hán	 id = 195483
kashmir	 id = 195484
honduras	 id = 195485
hawaii	 id = 195486
ấn độ dương	 id = 195487
turkmenistan	 id = 195488
azerbaijan	 id = 195489
bochum	 id = 195490
louvre	 id = 195491
châu á thái bình dương	 id = 195492
slovenia	 id = 195493
estonia	 id = 195494
nam kinh	 id = 195495
phuket	 id = 195496
bắc băng dương	 id = 195497
pattaya	 id = 195498
luxembourg	 id = 195499
bungari	 id = 195500
hungari	 id = 195501
cộng hòa séc	 id = 195502
cộng hòa czech	 id = 195503
cộng hòa liên bang đức	 id = 195504
boston	 id = 182132
giang tô	 id = 195505
côn sơn	 id = 195506
nam triều tiên	 id = 195507
xingapo	 id = 195508
malaixia	 id = 195509
mông cổ	 id = 195510
quế lâm	 id = 195511
quảng tây	 id = 195512
brussels	 id = 195513
nantes	 id = 182299
tbilisi	 id = 195514
matxcơva	 id = 195515
kyrgyzstan	 id = 195516
tashkent	 id = 195517
libăng	 id = 195518
basque	 id = 195519
san jose	 id = 195520
buckingham	 id = 195521
Anh	 id = 195522
Mỹ	 id = 195523
Pháp	 id = 195524
Nga	 id = 195525
Nhật	 id = 195526
Nhật Bản	 id = 189165
Oman	 id = 195527
Đức	 id = 195528
Cape Town	 id = 195529
Sao Paulo	 id = 195530
Ý	 id = 195531
VN	 id = 195532
Queensland	 id = 195533
Mĩ	 id = 195534
Penang	 id = 195535
Disney Land	 id = 195536
cộng hòa xã hội chủ nghĩa việt nam	 id = 195537
Melbourne	 id = 195538
Trung Quốc	 id = 192573
TQ	 id = 195539
châu á tbd	 id = 195540
Trùng Khánh	 id = 195541
Hà Nội	 id = 192517
HN	 id = 195542
San Siro	 id = 195543
Roma	 id = 182014
Madrid	 id = 195544
Turin	 id = 195545
Áo	 id = 195546
Đông Nam Á	 id = 195547
Fiji	 id = 195548
Nepal	 id = 195549
Sri Lanka	 id = 195550
CHXHCN Việt Nam	 id = 195551
Jerusalem	 id = 195552
Jérusalem	 id = 195553
Úc	 id = 195554
New Jersey	 id = 195555
Monaco	 id = 195556
Czech	 id = 195557
TBN	 id = 195558
Triều Châu	 id = 195559
Hải Nam	 id = 195560
Bắc Cực	 id = 195561
Nam Cực	 id = 195562
Ấn Độ	 id = 195563
Hoa Kỳ	 id = 195564
Tây Tạng	 id = 192575
Bình Nhưỡng	 id = 195565
New York	 id = 195566
Dubai	 id = 190438
Trung Đông	 id = 195567
Trung Cận Đông	 id = 195568
Chăm Pa	 id = 195569
Chămpa	 id = 195570
Champa	 id = 195571
xứ sở bò tót	 id = 195572
Á Đông	 id = 195573
ma-rốc	 id = 195574
Ai Cập	 id = 195575
albania	 id = 195576
algérie	 id = 195577
angola	 id = 195578
belize	 id = 195579
bolivia	 id = 195580
botswana	 id = 195581
burkina faso	 id = 195582
burundi	 id = 195583
bénin	 id = 195584
bê-nanh	 id = 195585
Bỉ	 id = 195586
Ba Lan	 id = 195587
cabo verde	 id = 195588
comoros	 id = 195589
costa rica	 id = 195590
tiểu vương quốc ả rập thống nhất	 id = 195591
congo	 id = 195592
dominicana	 id = 195593
trung phi	 id = 195594
Bờ Biển Ngà	 id = 195595
cộng hòa dân chủ nhân dân triều tiên	 id = 195596
Djibouti	 id = 195597
Dominica	 id = 195598
ecuador	 id = 195599
el salvador	 id = 195600
eritrea	 id = 195601
ethiopia	 id = 195602
gabon	 id = 195603
gambia	 id = 195604
grenada	 id = 195605
gruzia	 id = 195606
guatemala	 id = 195607
guiné-bissau	 id = 195608
guineé	 id = 195609
guyana	 id = 195610
ghi-nê bít-xao	 id = 195611
haiti	 id = 195612
iceland	 id = 195613
jamaica	 id = 195614
kenya	 id = 195615
kiribati	 id = 195616
latvia	 id = 195617
lesotho	 id = 195618
liban	 id = 195619
liberia	 id = 195620
litva	 id = 195621
madagascar	 id = 195622
malawi	 id = 195623
maldives	 id = 195624
mali	 id = 195625
maroc	 id = 195626
mauritanie	 id = 195627
mauritius	 id = 186224
moldova	 id = 195628
montenegro	 id = 195629
mozambique	 id = 195630
namibia	 id = 195631
nauru	 id = 195632
nicaragua	 id = 195633
niger	 id = 195634
myanma	 id = 195635
papua new guinea	 id = 195636
phi-líp-pin	 id = 195637
philíppin	 id = 195638
uganda	 id = 195639
ả rập saudi	 id = 195640
slovakia	 id = 195641
tajikistan	 id = 195642
quảng trường đỏ	 id = 195643
frankfurt	 id = 195644
Phú Sỹ	 id = 195645
Sơn Đông	 id = 195646
alps	 id = 184028
grudia	 id = 195647
tblisi	 id = 195648
philadelphia	 id = 195649
Mumbai	 id = 195650
Rotterdam	 id = 195651
Milano	 id = 179528
Nhà Trắng	 id = 195652
điện kremlin	 id = 195653
Villa Park	 id = 195654
athens	 id = 195655
UAE	 id = 195656
vienna	 id = 195657
ma lai xi a	 id = 195658
LB Nga	 id = 195659
liên bang nga	 id = 195660
Serbia	 id = 195661
in đô nê xi a	 id = 195662
braxin	 id = 195663
wellington	 id = 195664
ĐNÁ	 id = 195665
Ohio	 id = 195666
Québec	 id = 195667
Manitoba	 id = 195668
Ottawa	 id = 195669
Liên Bang Nga	 id = 195660
Quần đảo Trường Sa	 id = 195670
Montréal	 id = 195671
Quận Cam	 id = 195672
Hoa Kì	 id = 195673
Nước Anh	 id = 195674
Moskva	 id = 195675
Hà nội	 id = 192517
Nước Bỉ	 id = 195676
Dương Tử	 id = 195677
Cộng hòa Áo	 id = 195678
Úc Đại Lợi	 id = 195679
Australia	 id = 189719
Liên bang Úc	 id = 195680
Ô-xtơ-rây-li-a	 id = 195681
Ôxtơrâylia	 id = 195682
Phù Tang	 id = 195683
Nhật Bổn	 id = 195684
Alaska	 id = 183702
Illinois	 id = 195685
Rhode Island	 id = 195686
Sông Dương Tử	 id = 195687
Đảo Rhode	 id = 195688
Rhode island	 id = 195686
Đảo rhode	 id = 195688
Tiểu bang Rhode Island và những Đồn Điền Providence	 id = 195689
Tiểu bang rhode island và những đồn điền providence	 id = 195689
Nước Áo	 id = 195690
Trung Hoa	 id = 192574
Cu-ba	 id = 195691
HQ	 id = 183467
US-OH	 id = 195692
US-AK	 id = 195693
Quebec	 id = 195694
ĐNA	 id = 195695
Vương quốc Champa	 id = 195696
Chăm-pa	 id = 195697
Vương quốc Chăm-pa	 id = 195698
Vương quốc Chăm pa	 id = 195699
Vương quốc chăm pa	 id = 195699
Vương quốc chăm-pa	 id = 195698
Vương quốc champa	 id = 195696
Mat-xcơ-va	 id = 195700
USA	 id = 184573
I-rắc	 id = 195701
CHLB Đức	 id = 195434
South Dakota	 id = 195702
Nam Dakota	 id = 195703
München	 id = 195704
Munich	 id = 195705
Tích Lan	 id = 195706
Munchen	 id = 195707
Muenchen	 id = 195708
Vancouver	 id = 195709
Thiên An Môn	 id = 195710
Angkor Wat	 id = 195711
Angkor Vat	 id = 195712
Tây tạng	 id = 192575
Ồ-hai-ô	 id = 195713
Ô-hai-ô	 id = 195714
OH	 id = 195715
Ấn Ðộ	 id = 195716
Florida	 id = 195717
Tô Châu	 id = 195718
Huê Kỳ	 id = 195719
Cộng hòa Pháp	 id = 195720
Hàng Châu	 id = 195721
Đảo Hải Nam	 id = 195722
Hải Nam Đảo	 id = 195723
Nam Ninh	 id = 195724
Stalingrad	 id = 195725
Trung Á	 id = 195726
Quần đảo Canaria	 id = 195727
Quần đảo Canary	 id = 195728
Tiệp Khắc	 id = 195729
Tiệp khắc	 id = 195729
Tiệp-Khắc	 id = 195730
Đông Á	 id = 195731
Tháp Eiffel	 id = 195732
Đền Angkor Wat	 id = 195733
Cộng hoà dân chủ nhân dân Lào	 id = 195734
Glasgow	 id = 195735
Montreal	 id = 195736
Orange County	 id = 195737
Dương Tử Giang	 id = 195738
Thành phố New York	 id = 195739
New York City	 id = 195740
City of New York	 id = 195741
NYC	 id = 195742
Nữu Ước	 id = 195743
Niu Oóc	 id = 195744
Tân York	 id = 195745
Thành phố Tân York	 id = 195746
Mê Công	 id = 195747
Toronto	 id = 187098
Tô-ron-tô	 id = 195748
Tôrontô	 id = 195749
Tô-rôn-tô	 id = 195750
Tôrôntô	 id = 195751
Tồ-rôn-tô	 id = 195752
Tồ-ron-tô	 id = 195753
Ottawa, Ontario	 id = 195754
Cộng hòa Ireland	 id = 195755
Ai-len	 id = 195756
Ailen	 id = 195757
Ái Nhĩ Lan	 id = 195758
Ái-nhĩ-lan	 id = 195759
Cộng hòa Ai-len	 id = 195760
Cộng hòa Ailen	 id = 195761
Ireland	 id = 195762
Ăng-kor Wat	 id = 195763
Liên bang Nga	 id = 195660
Biển Chết	 id = 195764
Biển Zoar	 id = 195765
Tân Cương	 id = 195766
Italia	 id = 195767
Síp	 id = 195768
Rome	 id = 195769
San Marino	 id = 195770
La Mã	 id = 195771
WTC	 id = 195772
Lệ Giang	 id = 195773
Lệ giang	 id = 195773
Sông Trường Giang	 id = 195774
Sông trường giang	 id = 195774
Torino	 id = 183668
Tanzania	 id = 195775
Cộng hoà liên bang Tanzania	 id = 195776
Cộng hoà Tanzania	 id = 195777
Cộng hòa Liên bang Tanganyika và Zanzibar	 id = 195778
Cộng hoà Liên bang Tanganyika và Zanzibar	 id = 195779
Cộng hoà liên bang Tanganyika và Zanzibar	 id = 195779
Cộng hòa Liên bang Tanzania	 id = 195780
Cộng hòa liên bang Tanzania	 id = 195780
Cộng hòa liên bang Tanganyika và Zanzibar	 id = 195778
Cộng hòa Tanzania	 id = 195781
Cộng hoà Liên bang Tanzania	 id = 195776
Praha	 id = 195782
Prague	 id = 195783
Côte d'Ivoire	 id = 195784
Côte d’Ivoire	 id = 195785
Cốt Đi Voa	 id = 195786
Cốt Đi voa	 id = 195786
Cốt Đi-voa	 id = 195787
Thủ đô Hà Nội	 id = 195788
Chăm pa	 id = 195569
Sahara	 id = 182836
Quần đảo Sandwich	 id = 195789
sân bay quốc tế Ruzyně	 id = 195790
Biển Đen	 id = 195791
Hắc Hải	 id = 195792
Den Haag	 id = 195793
LaHay	 id = 195794
La-hay	 id = 195795
's-Gravenhage	 id = 195796
La Haye	 id = 195797
La Hay	 id = 195798
Minsk	 id = 191061
Nam Tư	 id = 195799
Ma Cao	 id = 195800
Ôhaiô	 id = 195801
Niu Yooc	 id = 195802
Alaxka	 id = 195803
Muynich	 id = 195804
Côt - Đivoa	 id = 195805
Côt-Đivoa	 id = 195806
Pusan	 id = 195807
Côt Đivoa	 id = 195808
Cote d'Ivore	 id = 195809
Ôxtrâylia	 id = 195810
Cộng hòa Đại bình yên San Marino	 id = 195811
Cộng hòa rất Thanh bình Xan Marinô	 id = 195812
Cộng hòa rất Thanh bình San Marinô	 id = 195813
San Marinô	 id = 195814
Cộng hoà rất Thanh bình Xan Marinô	 id = 195815
Cộng hoà rất Thanh bình San Marinô	 id = 195816
Xan Marinô	 id = 195817
Cộng hoà Tiệp Khắc	 id = 195818
Cộng hòa Tiệp Khắc	 id = 195819
Cộng hoà Thống nhất Tanzania	 id = 195820
Cộng hòa Thống nhất Tanzania	 id = 195821
Rôma	 id = 195822
Vương quốc Chămpa	 id = 195823
Tôrinô	 id = 195824
Sông Amazon	 id = 195825
Alabama	 id = 195826
Alabama (Hoa Kỳ)	 id = 195827
Alabama, Hoa Kỳ	 id = 195828
Alabama (Mỹ)	 id = 195829
Alabama, Mỹ	 id = 195830
Tiểu bang Alabama	 id = 195831
Bang Alabama	 id = 195832
Tiểu Bang Alabama	 id = 195831
A-la-ba-ma	 id = 195833
Bạch Ốc	 id = 195834
A-lá-xka	 id = 195835
A-la-xka	 id = 195836
Amazon (sông)	 id = 195837
Vạn Lý Trường Thành	 id = 195838
Arizona	 id = 178817
Arixôna	 id = 195839
A-ri-xô-na	 id = 195840
Arkansas	 id = 195841
A-căn-sò	 id = 195842
Acănsò	 id = 195843
A-căn-so	 id = 195844
Acănso	 id = 195845
A-can-sò	 id = 195846
Acansò	 id = 195847
A-can-so	 id = 195848
Acanso	 id = 195849
Hy Lạp cổ đại	 id = 195850
Nước cộng hòa Greece cổ	 id = 195851
A-can-xò	 id = 195852
Acanxò	 id = 195853
A-can-xo	 id = 195854
Acanxo	 id = 195855
Colorado	 id = 195856
Cô-lô-ra-đô	 id = 195857
Côlôrađô	 id = 195858
Connecticut	 id = 195859
Vạn lý trường thành	 id = 195838
Sierra Leone	 id = 195860
Delaware	 id = 195861
Đe-la-ue	 id = 195862
Đê-la-ue	 id = 195863
Đelaue	 id = 195864
Đêlaue	 id = 195865
A Lạp Tư Gia	 id = 195866
Georgia	 id = 195867
Hy Lạp cổ	 id = 195868
Guinée	 id = 195869
India	 id = 195870
Điện Capitol Hoa Kỳ	 id = 195871
Capitơn	 id = 195872
Capitol	 id = 195873
Bhutan	 id = 195874
Tchad	 id = 195875
Cầu Cổng Vàng	 id = 195876
Cầu Golden Gate	 id = 195877
Everest	 id = 186904
Mount Everest	 id = 195878
Libya	 id = 195879
Rwanda	 id = 195880
Idaho	 id = 195881
Ai-đa-hồ	 id = 195882
São Tomé và Príncipe	 id = 195883
Somalia	 id = 195884
Swaziland	 id = 195885
Zambia	 id = 195886
Suriname	 id = 195887
Uruguay	 id = 195888
Bahamas	 id = 195889
Ba-ha-mát	 id = 195890
Dăm-bi-a	 id = 195891
Chad	 id = 195892
Vương quốc Bhutan	 id = 195893
Vương quốc Nepal	 id = 195894
Nê-pan	 id = 195895
Nêpan	 id = 195896
Nêpal	 id = 195897
Nê-pal	 id = 195898
Cộng hoà Djibouti	 id = 195899
Cộng hòa Djibouti	 id = 195900
Cộng hòa Ả Rập Ai Cập	 id = 195901
Ai-cập	 id = 195902
Đại Dân Quốc Ả Rập Libya Nhân dân Xã hội Chủ nghĩa	 id = 195903
Li Bi	 id = 195904
Ly Bi	 id = 195905
Li-bi	 id = 195906
Đại Jamahiriya Ả Rập Libya Nhân dân Xã hội Chủ nghĩa	 id = 195907
Đại Dân quốc Ả Rập Libya Nhân dân Xã hội Chủ nghĩa	 id = 195903
Ruanda	 id = 195908
Ruanđa	 id = 195909
Ru-an-đa	 id = 195910
Cộng hòa Rwanda	 id = 195911
Cộng hoà Rwanda	 id = 195912
Cộng hoà Dân chủ São Tomé và Príncipe	 id = 195913
Cộng hòa Dân chủ São Tomé và Príncipe	 id = 195914
Somali	 id = 195915
Cộng hòa Dân chủ Somali	 id = 195916
Cộng hòa Dân chủ Somalia	 id = 195917
Sômalia	 id = 195918
Xômali	 id = 195919
Sômali	 id = 195920
Xômalia	 id = 195921
Sô-ma-li-a	 id = 195922
Xô-ma-li-a	 id = 195923
Xô-ma-li	 id = 195924
Sô-ma-li	 id = 195925
Port-au-Prince	 id = 195926
Bosna và Hercegovina	 id = 195927
Sông Volga	 id = 195928
Đông Quan	 id = 195929
Môngrêan	 id = 195930
Ôttaoa	 id = 195931
Vancuvơ	 id = 195932
Quêbec	 id = 195933
Muynkhen	 id = 195934
Floriđa	 id = 195935
Gioocgia	 id = 195936
Menbơn	 id = 195937
Pooctô Pranhxơ	 id = 195938
Minxkơ	 id = 195939
Ai Lao	 id = 195940
Chernobyl	 id = 195941
Syria	 id = 195942
Yemen	 id = 195943
Armenia	 id = 195944
Pyongyang	 id = 195945
Phú Sĩ	 id = 195946
Austria	 id = 195947
Áo Môn	 id = 195948
Macao	 id = 195949
Tibet	 id = 185227
Ô man	 id = 195950
Phơ-lo-ri-đa	 id = 195951
Ý Đại Lợi	 id = 195952
Sao Tô-mê	 id = 195953
Indiana	 id = 195954
In-đi-a-na	 id = 195955
In-đia-na	 id = 195956
Inđiana	 id = 195957
Hà Thành	 id = 192631
Iowa	 id = 195958
Malta	 id = 195959
Thiếu Lâm Tự	 id = 195960
Yerushalayim	 id = 195961
Kênh đào Suez	 id = 195962
Sông Donau	 id = 195963
sân bay Kép	 id = 195964
Kansas	 id = 195965
Trinidad và Tobago	 id = 195966
Trinidad & Tobago	 id = 195967
Giêrusalem	 id = 195968
Giê-ru-sa-lem	 id = 195969
Vanuatu	 id = 195970
Hồ Bắc	 id = 195971
Luang Prabang	 id = 195972
Viêng Chăn	 id = 195973
Liechtenstein	 id = 195974
Donau	 id = 195975
Danube	 id = 195976
Đanuýp	 id = 195977
Sân vận động Allianz	 id = 195978
Allianz Arena	 id = 195979
Di Hòa Viên	 id = 195980
Kentucky	 id = 195981
Cộng hòa Kentucky	 id = 195982
Châu Giang	 id = 195983
Cộng hòa liên bang Đức	 id = 195504
Cộng hòa Liên bang Đức	 id = 195504
Nga My	 id = 195984
Taj Mahal	 id = 195985
Lăng Taj Mahan	 id = 195986
Lăng Taj Mahal	 id = 195987
SVĐ Allianz	 id = 195988
Siri	 id = 182354
Xiri	 id = 195989
Xyri	 id = 195990
Xy ri	 id = 195991
Xy-ri	 id = 195992
Leipzig	 id = 195993
Köln	 id = 195994
Cologne	 id = 195995
Gelsenkirchen	 id = 195996
Dortmund	 id = 195997
Stuttgart	 id = 195998
Lăng Lenin	 id = 195999
Hannover	 id = 196000
Hanover	 id = 196001
Chiang Mai	 id = 196002
Triệu Voi	 id = 196003
Massachusetts	 id = 196004
New Hampshire	 id = 196005
Tennessee	 id = 196006
Georgia (Hoa Kỳ)	 id = 196007
Trường giang	 id = 196008
Maryland	 id = 196009
Maine	 id = 196010
Minnesota	 id = 196011
New Mexico	 id = 196012
Nuevo México	 id = 196013
Oklahoma	 id = 196014
Nước Nga	 id = 196015
North Carolina	 id = 196016
Montana	 id = 190532
Oregon	 id = 196017
Missouri	 id = 196018
Nebraska	 id = 196019
North Dakota	 id = 196020
South Carolina	 id = 196021
Vermont	 id = 196022
West Virginia	 id = 196023
Utah	 id = 196024
Wisconsin	 id = 196025
Wyoming	 id = 196026
Châu giang (Trung Quốc)	 id = 196027
sân bay quốc tế Kansai	 id = 196028
sân bay Kansai	 id = 196029
Tây Virginia	 id = 196030
Mixuri	 id = 196031
Tân Hampshire	 id = 196032
Tân Jersey	 id = 196033
Niu Mêhicô	 id = 196034
Tân Mễ Tây Cơ	 id = 196035
Tân Mexico	 id = 196036
Bắc Carolina	 id = 196037
Bắc Dakota	 id = 196038
Nam Carolina	 id = 196039
Tennexi	 id = 196040
Acmênia	 id = 196041
Bahama	 id = 196042
Bôxnia - Hecxêgôvina	 id = 196043
Bôxnia và Hecxêgôvina	 id = 196044
Bôxnia Hecxêgôvina	 id = 196045
Jibuti	 id = 196046
Đôminica	 id = 196047
Ghinê	 id = 196048
Cốt Đivoa	 id = 196049
Ai len	 id = 196050
Lichtenxten	 id = 196051
Manta	 id = 196052
Ôman	 id = 196053
Xao Tômê và Prinxipê	 id = 196054
Xiêra Lêôn	 id = 196055
Xri Lanka	 id = 196056
Xurinam	 id = 196057
Xoazilen	 id = 196058
Libi	 id = 196059
Tơriniđat và Tôbagô	 id = 196060
Urugoay	 id = 196061
Yêmen	 id = 196062
Zămbia	 id = 196063
Hannôvơ	 id = 196064
Quênơ	 id = 196065
Laixich	 id = 196066
Xtutgat	 id = 196067
Japan	 id = 196068
Vương quốc Bỉ	 id = 196069
Tréc-nô-bưn	 id = 196070
Nước Triệu Voi	 id = 196071
Xứ Triệu Voi	 id = 196072
Trung tâm Vũ trụ John F. Kennedy	 id = 196073
Quần đảo Galápagos	 id = 196074
Đảo Galápagos	 id = 196075
Quần đảo Galapagos	 id = 196076
Alexandria	 id = 196077
Kobe	 id = 196078
Sénégal	 id = 196079
Senegal	 id = 196080
Himalaya	 id = 196081
Quần đảo Nansei	 id = 196082
Lima	 id = 196083
Luông Pha Bang	 id = 196084
Luông Pha bang	 id = 196084
Genova	 id = 196085
Genoa	 id = 196086
Venezia	 id = 196087
Venice	 id = 196088
Vơ-ni-dơ	 id = 196089
Vơ ni dơ	 id = 196090
Venessia	 id = 196091
Lăng mộ Tần Thủy Hoàng	 id = 196092
Lăng Tần Thủy Hoàng	 id = 196093
Tây An	 id = 196094
Thành Đô	 id = 196095
Côn Minh	 id = 196096
Vân Nam	 id = 196097
Kiev	 id = 191595
Thanh Đảo	 id = 196098
Giao Áo	 id = 196099
Ouagadougou	 id = 196100
Xiêm Riệp	 id = 196101
Thâm Quyến	 id = 196102
Thẩm Quyến	 id = 196103
Cung điện Mùa Hè	 id = 196104
Ai-rơ-len	 id = 196105
Nam cực	 id = 195562
Cốt-đi-voa	 id = 196106
Bra-xin	 id = 196107
Cyprus	 id = 196108
Cực Nam	 id = 196109
Hy Mã Lạp Sơn	 id = 196110
Hi Mã Lạp Sơn	 id = 196111
Hymalaya	 id = 196112
Chumulangma	 id = 196113
Chomolangma	 id = 196114
Chômôlungma	 id = 196115
Barbados	 id = 196116
Trường Giang	 id = 196008
Tháp nghiêng Pisa	 id = 196117
Chiềng Mai	 id = 196118
Khu lăng mộ Giza	 id = 196119
Tonga	 id = 196120
Giza Necropolis	 id = 196121
Vương quốc Tonga	 id = 196122
Kênh Suez	 id = 196123
Sri lanka	 id = 195550
Cộng hòa Liên bang Nam Tư	 id = 196124
Hoa Sơn	 id = 196125
Xi-ri	 id = 196126
Hoa sơn	 id = 196125
Vương Quốc Bỉ	 id = 196069
Núi Hoa	 id = 196127
Xy Ri	 id = 195991
Tây Nhạc Hoa sơn	 id = 196128
Firenze	 id = 196129
Florence	 id = 196130
Warszawa	 id = 196131
Vac-Xa-Va	 id = 196132
Vác-sa-va	 id = 196133
Warsaw	 id = 196134
Oslo	 id = 196135
Christiania	 id = 196136
sân bay quốc tế Washington Dulles	 id = 196137
sân bay quốc tế Los Angeles	 id = 196138
LAX	 id = 196139
sân bay quốc tế San Francisco	 id = 196140
sân bay quốc tế Dallas-Forth Worth	 id = 196141
sân bay Quốc tế Hồng Kông	 id = 196142
sân bay Quốc tế Hong Kong	 id = 196143
sân bay quốc tế Phố Đông-Thượng Hải	 id = 196144
sân bay Quốc tế Changi Singapore	 id = 196145
sân bay Quốc tế Suvarnabhumi	 id = 196146
sân bay Quốc tế Incheon	 id = 196147
sân bay Quốc tế Tokyo	 id = 196148
sân bay Quốc tế Pochentong	 id = 196149
sân bay Quốc tế Angkor	 id = 196150
sân bay quốc tế Wattay	 id = 196151
sân bay quốc tế Luang Prabang	 id = 196152
sân bay Savannakhet	 id = 196153
sân bay Pakse	 id = 196154
Yangon	 id = 196155
Bombay	 id = 195459
sân bay London Heathrow	 id = 196156
sân bay quốc tế Hartsfield-Jackson Atlanta	 id = 196157
Nairobi	 id = 196158
Vladivostok	 id = 196159
Phnôm Pênh	 id = 196160
Hải Sâm Uy	 id = 196161
sân bay Quốc tế Leonardo da Vinci	 id = 196162
Cáp Nhĩ Tân	 id = 196163
Libia	 id = 196164
Hồ Nam	 id = 196165
La Habana	 id = 196166
Cannes	 id = 196167
La Havana	 id = 196168
Toulouse	 id = 196169
Colosseo	 id = 196170
Zürich	 id = 196171
Puerto Rico	 id = 196172
Puectô Ricô	 id = 196173
Antananarivo	 id = 196174
Baku	 id = 196175
Czechoslovakia	 id = 196176
Vác-xa-va	 id = 196177
Harbin	 id = 196178
Siêm Riệp	 id = 196179
Rangoon	 id = 196180
Ngưỡng Quang	 id = 196181
sân bay Quốc tế Hat Yai	 id = 196182
Di hòa viên	 id = 195980
Di Hoà Viên	 id = 196183
Chiết Giang	 id = 196184
Giang Tây	 id = 196185
